Date,Close,Signal,Portfolio Value,Rise/Fall,Stocks Held,Cash in Hand
2020-01-01,509.7279357910156,0,100000.0,0.0,0,100000.0
2020-01-02,512.8151245117188,0,100000.0,0.0,0,100000.0
2020-01-03,506.0707702636719,0,100000.0,0.0,0,100000.0
2020-01-06,498.23388671875,0,100000.0,0.0,0,100000.0
2020-01-07,500.2762451171875,0,100000.0,0.0,0,100000.0
2020-01-08,498.37640380859375,0,100000.0,0.0,0,100000.0
2020-01-09,514.1450805664062,0,100000.0,0.0,0,100000.0
2020-01-10,519.2271118164062,0,100000.0,0.0,0,100000.0
2020-01-13,527.1589965820312,0,100000.0,0.0,0,100000.0
2020-01-14,534.3309326171875,0,100000.0,0.0,0,100000.0
2020-01-15,541.2178955078125,0,100000.0,0.0,0,100000.0
2020-01-16,539.0330200195312,0,100000.0,0.0,0,100000.0
2020-01-17,540.7903442382812,0,100000.0,0.0,0,100000.0
2020-01-20,538.795654296875,0,100000.0,0.0,0,100000.0
2020-01-21,525.1166381835938,0,100000.0,0.0,0,100000.0
2020-01-22,525.8765869140625,0,100000.0,0.0,0,100000.0
2020-01-23,538.1305541992188,0,100000.0,0.0,0,100000.0
2020-01-24,539.3179931640625,0,100000.0,0.0,0,100000.0
2020-01-27,549.3396606445312,0,100000.0,0.0,0,100000.0
2020-01-28,543.8301391601562,0,100000.0,0.0,0,100000.0
2020-01-29,548.8171997070312,0,100000.0,0.0,0,100000.0
2020-01-30,539.4129638671875,0,100000.0,0.0,0,100000.0
2020-01-31,538.7481079101562,0,100000.0,0.0,0,100000.0
2020-02-03,530.7212524414062,0,100000.0,0.0,0,100000.0
2020-02-04,548.009765625,0,100000.0,0.0,0,100000.0
2020-02-05,555.0867309570312,0,100000.0,0.0,0,100000.0
2020-02-06,551.09716796875,0,100000.0,0.0,0,100000.0
2020-02-07,540.6004028320312,0,100000.0,0.0,0,100000.0
2020-02-10,501.9386291503906,0,100000.0,0.0,0,100000.0
2020-02-11,497.80645751953125,0,100000.0,0.0,0,100000.0
2020-02-12,504.4083557128906,0,100000.0,0.0,0,100000.0
2020-02-13,506.8781433105469,0,100000.0,0.0,0,100000.0
2020-02-14,496.8089599609375,0,100000.0,0.0,0,100000.0
2020-02-17,496.571533203125,0,100000.0,0.0,0,100000.0
2020-02-18,496.99896240234375,0,100000.0,0.0,0,100000.0
2020-02-19,500.038818359375,0,100000.0,0.0,0,100000.0
2020-02-20,498.5663146972656,0,100000.0,0.0,0,100000.0
2020-02-24,487.499755859375,0,100000.0,0.0,0,100000.0
2020-02-25,483.4626159667969,0,100000.0,0.0,0,100000.0
2020-02-26,477.810546875,0,100000.0,0.0,0,100000.0
2020-02-27,468.7863464355469,0,100000.0,0.0,0,100000.0
2020-02-28,434.1617126464844,0,100000.0,0.0,0,100000.0
2020-03-02,435.3490905761719,0,100000.0,0.0,0,100000.0
2020-03-03,442.90093994140625,0,100000.0,0.0,0,100000.0
2020-03-04,450.8802795410156,0,100000.0,0.0,0,100000.0
2020-03-05,455.2974548339844,0,100000.0,0.0,0,100000.0
2020-03-06,447.4130859375,0,100000.0,0.0,0,100000.0
2020-03-09,440.00372314453125,0,100000.0,0.0,0,100000.0
2020-03-11,428.984619140625,0,100000.0,0.0,0,100000.0
2020-03-12,402.1493225097656,0,100000.0,0.0,0,100000.0
2020-03-13,407.3739013671875,0,100000.0,0.0,0,100000.0
2020-03-16,372.1793212890625,0,100000.0,0.0,0,100000.0
2020-03-17,354.70074462890625,0,100000.0,0.0,0,100000.0
2020-03-18,329.0528564453125,0,100000.0,0.0,0,100000.0
2020-03-19,298.46539306640625,0,100000.0,0.0,0,100000.0
2020-03-20,306.44476318359375,0,100000.0,0.0,0,100000.0
2020-03-23,278.7070007324219,0,100000.0,0.0,0,100000.0
2020-03-24,255.5289306640625,0,100000.0,0.0,0,100000.0
2020-03-25,263.9356994628906,1,100000.0,0.0,100,73606.43
2020-03-26,271.20263671875,0,100726.69,726.69,100,73606.43
2020-03-27,279.75189208984375,0,101581.62,854.93,100,73606.43
2020-03-30,260.65850830078125,0,99672.28,-1909.34,100,73606.43
2020-03-31,270.68017578125,0,100674.45,1002.17,100,73606.43
2020-04-01,259.1861267089844,1,99525.04,-1149.4,200,47687.82
2020-04-03,266.64300537109375,0,101016.42,1491.38,200,47687.82
2020-04-07,304.9248962402344,0,108672.8,7656.38,200,47687.82
2020-04-08,310.0544128417969,0,109698.7,1025.9,200,47687.82
2020-04-09,362.3000793457031,0,120147.83,10449.13,200,47687.82
2020-04-13,344.6790771484375,0,116623.63,-3524.2,200,47687.82
2020-04-15,335.4648132324219,0,114780.78,-1842.85,200,47687.82
2020-04-16,338.8370666503906,0,115455.23,674.45,200,47687.82
2020-04-17,345.0115661621094,0,116690.13,1234.9,200,47687.82
2020-04-20,338.02960205078125,0,115293.74,-1396.39,200,47687.82
2020-04-21,315.42144775390625,0,110772.11,-4521.63,200,47687.82
2020-04-22,323.1633605957031,0,112320.49,1548.38,200,47687.82
2020-04-23,330.0977478027344,0,113707.37,1386.88,200,47687.82
2020-04-24,317.55877685546875,0,111199.57,-2507.79,200,47687.82
2020-04-27,313.7591247558594,0,110439.64,-759.93,200,47687.82
2020-04-28,319.126220703125,0,111513.06,1073.42,200,47687.82
2020-04-29,330.57275390625,0,113802.37,2289.31,200,47687.82
2020-04-30,348.28875732421875,0,117345.57,3543.2,200,47687.82
2020-05-04,339.1695251464844,0,115521.72,-1823.85,200,47687.82
2020-05-05,349.7136535644531,0,117630.55,2108.83,200,47687.82
2020-05-06,367.76214599609375,0,121240.25,3609.7,200,47687.82
2020-05-07,380.5860900878906,0,123805.04,2564.79,200,47687.82
2020-05-08,367.334716796875,0,121154.76,-2650.27,200,47687.82
2020-05-11,370.5644226074219,0,121800.7,645.94,200,47687.82
2020-05-12,373.3666687011719,0,122361.15,560.45,200,47687.82
2020-05-13,392.3651428222656,0,126160.85,3799.69,200,47687.82
2020-05-14,380.39617919921875,0,123767.05,-2393.79,200,47687.82
2020-05-15,362.2051086425781,0,120128.84,-3638.21,200,47687.82
2020-05-18,358.3104248046875,0,119349.9,-778.94,200,47687.82
2020-05-19,363.72503662109375,0,120432.82,1082.92,200,47687.82
2020-05-20,384.7657470703125,0,124640.97,4208.14,200,47687.82
2020-05-21,387.8529968261719,0,125258.42,617.45,200,47687.82
2020-05-22,404.99908447265625,0,128687.63,3429.22,200,47687.82
2020-05-26,407.6589050292969,0,129219.6,531.96,200,47687.82
2020-05-27,410.8410949707031,0,129856.04,636.44,200,47687.82
2020-05-28,418.3454895019531,0,131356.92,1500.88,200,47687.82
2020-05-29,414.4983215332031,0,130587.48,-769.43,200,47687.82
2020-06-01,438.00885009765625,0,135289.59,4702.11,200,47687.82
2020-06-02,439.6712341308594,0,135622.06,332.48,200,47687.82
2020-06-03,460.8070068359375,0,139849.22,4227.15,200,47687.82
2020-06-04,454.4900207519531,0,138585.82,-1263.4,200,47687.82
2020-06-05,459.9520568847656,0,139678.23,1092.41,200,47687.82
2020-06-08,447.2705993652344,0,137141.94,-2536.29,200,47687.82
2020-06-09,454.77496337890625,0,138642.81,1500.87,200,47687.82
2020-06-10,448.4104919433594,0,137369.92,-1272.89,200,47687.82
2020-06-11,450.7853088378906,0,137844.88,474.96,200,47687.82
2020-06-12,482.9876708984375,0,144285.35,6440.47,200,47687.82
2020-06-15,482.70263671875,0,144228.34,-57.01,200,47687.82
2020-06-16,481.3727722167969,0,143962.37,-265.97,200,47687.82
2020-06-17,472.6810302734375,0,142224.02,-1738.35,200,47687.82
2020-06-18,481.2303466796875,0,143933.89,1709.86,200,47687.82
2020-06-19,475.00830078125,0,142689.48,-1244.41,200,47687.82
2020-06-22,473.7734375,0,142442.5,-246.97,200,47687.82
